,id,day,country,hour,name,diagnose,suspect,cure,death,time,label,datex,continents,currentdiagnose,day.1,Clusters
5,2023161,,荷兰,,荷兰,948933,0,11886,13540,1611574245,,,欧洲,923507,2021-01-25,0
6,2023162,,比利时,,比利时,693666,0,19239,20779,1611574245,,,欧洲,653648,2021-01-25,0
7,2023163,,瑞典,,瑞典,547166,0,4971,11005,1611574245,,,欧洲,531190,2021-01-25,0
10,2023166,,塞尔维亚,,塞尔维亚,441299,0,50730,5336,1611574245,,,欧洲,385233,2021-01-25,0
13,2023169,,乌克兰,,乌克兰,1194328,0,953297,21924,1611574245,,,欧洲,219107,2021-01-25,0
16,2023172,,瑞士,,瑞士,509279,0,317600,8345,1611574245,,,欧洲,183334,2021-01-25,0
17,2023173,,葡萄牙,,葡萄牙,636190,0,456491,10469,1611574245,,,欧洲,169230,2021-01-25,0
19,2023175,,印度尼西亚,,印度尼西亚,999256,0,809488,28132,1611574245,,,亚洲,161636,2021-01-25,0
20,2023176,,爱尔兰,,爱尔兰,187554,0,25422,2970,1611574245,,,欧洲,159162,2021-01-25,0
21,2023177,,斯洛文尼亚,,斯洛文尼亚,157293,0,2027,3555,1611574245,,,欧洲,151711,2021-01-25,0
23,2023179,,希腊,,希腊,151646,0,1473,5622,1611574245,,,欧洲,144551,2021-01-25,0
26,2023182,,黎巴嫩,,黎巴嫩,279597,0,165729,2320,1611574245,,,亚洲,111548,2021-01-25,0
27,2023183,,捷克,,捷克,937617,0,814903,15369,1611574245,,,欧洲,107345,2021-01-25,0
28,2023184,,匈牙利,,匈牙利,360418,0,243092,12084,1611574245,,,欧洲,105242,2021-01-25,0
29,2023185,,哈萨克斯坦,,哈萨克斯坦,224395,0,121347,2956,1611574245,,,亚洲,100092,2021-01-25,0
31,2023187,,波多黎各,,波多黎各,90073,0,0,1771,1611574245,,,北美洲,88302,2021-01-25,0
32,2023188,,洪都拉斯,,洪都拉斯,140929,0,60469,3447,1611574245,,,北美洲,77013,2021-01-25,0
33,2023189,,以色列,,以色列,596733,0,522368,4392,1611574245,,,亚洲,69973,2021-01-25,0
34,2023190,,日本,,日本,364813,0,295426,5084,1611574245,,,亚洲,64303,2021-01-25,0
35,2023191,,加拿大,,加拿大,747383,0,664621,19094,1611574245,,,北美洲,63668,2021-01-25,0
36,2023192,,立陶宛,,立陶宛,177166,0,119254,2664,1611574245,,,欧洲,55248,2021-01-25,0
37,2023193,,多米尼加,,多米尼加,202507,0,147147,2513,1611574245,,,北美洲,52847,2021-01-25,0
38,2023194,,孟加拉国,,孟加拉国,531799,0,476413,8023,1611574245,,,亚洲,47363,2021-01-25,0
39,2023195,,突尼斯,,突尼斯,195314,0,141862,6154,1611574245,,,非洲,47298,2021-01-25,0
40,2023196,,巴拿马,,巴拿马,311244,0,259095,5063,1611574245,,,北美洲,47086,2021-01-25,0
42,2023198,,斯洛伐克,,斯洛伐克,236476,0,189959,4068,1611574245,,,欧洲,42449,2021-01-25,0
43,2023199,,马来西亚,,马来西亚,186849,0,145084,689,1611574245,,,亚洲,41076,2021-01-25,0
44,2023200,,玻利维亚,,玻利维亚,201037,0,150439,9985,1611574245,,,南美洲,40613,2021-01-25,0
45,2023201,,哥斯达黎加,,哥斯达黎加,189308,0,146448,2518,1611574245,,,北美洲,40342,2021-01-25,0
